Vaga,Empresa,Avaliação,Local,Data,Descrição,Link
Analista de Dados,Morning Star Consulting,"4,3","Rio de Janeiro, RJ",EmployerAtiva 7 dias atrás,"Conhecimento sólido em Power BI, Python, Spotfire, Excel e SQL;
Criação/Desenvolvimento de dashboards e relatórios operacionais, táticos e estratégicos com KPIs…",br.indeed.com/company/Morning-Star-Consulting/jobs/Analista-De-Dados-a11469ed05444203?fccid=015452ffb4c1add7&vjs=3
Analista de Inteligência de Negócios,Grupo Trigo,"4,4","Rio de Janeiro, RJ",PostedAnunciada há 5 dia,"Apoio na criação de painéis no Power BI;
Necessário: conhecimento em Excel avançado e SQL.
Benefícios: Vale Transporte ou Ticket Car (desc 1,00) + Vale Refeição…",br.indeed.com/rc/clk?jk=c8d6335e5abac31c&fccid=4b55d9a7bfbcac78&vjs=3
"Estágio em Análise de Dados e Performance - Rio de Janeiro, RJ",Baker Hughes,"4,0","Rio de Janeiro, RJ",PostedAnunciada há 7 dia,"Atuar na concepção, arquitetura e desenvolvimento de soluções para processos e atividades da engenharia de dutos flexíveis com aplicação offshore.",br.indeed.com/rc/clk?jk=d7201af21e603927&fccid=f4c6ba597fc7aa75&vjs=3
Analista de BI JR,Vibra Energia,"3,7","Rio de Janeiro, RJ",PostedAnunciada há 15 dia,"Experiência desejavel com programação em Python;
Familiaridade em ferramentas de ETL e pipeline de dados;
Uma empresa pronta para o futuro com uma bagagem de 50…",br.indeed.com/rc/clk?jk=9d49536bba430e0a&fccid=72d4b3d08fa32b4e&vjs=3
ANL CUSTOMER SUCCESS I,Energisa - Recrutamento Externo,"5,0","Rio de Janeiro, RJ",PostedAnunciada há 19 dia,Monitorar performance da base de clientes das verticais da (re)energisa através de estudos e análises de dados;,br.indeed.com/rc/clk?jk=49e891ba9fb983c7&fccid=3b88f8e20a38413a&vjs=3
ANALISTA DE NEGÓCIOS (BI),DROGARIA VENANCIO,"3,7","Rio de Janeiro, RJ",PostedAnunciada há 15 dia,"A Drogaria Venâncio, uma das maiores redes de farmácias do país, está procurando um Analista de Negócios (BI) para se juntar ao nosso time em expansão.",br.indeed.com/rc/clk?jk=4b2dfe09d3e5c493&fccid=8b8d75cb245f3e16&vjs=3
DATA SCIENCE CONSULTANT RIO DE JANEIRO,managementsolutions,"3,6","Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models …",br.indeed.com/rc/clk?jk=c2d10c8b10445f26&fccid=f3eca80b6759548b&vjs=3
ANALISTA DE POWER BI,Vikservices,"3,9","Rio de Janeiro, RJ",PostedHoje,Desejável/Diferencial: Excel avançado Power point intermediário Power BI e dashboard SQL Python Microsoft Access #LI-Onsite.,br.indeed.com/rc/clk?jk=9cf163823cd9d7f1&fccid=a41b77f160a8ddd7&vjs=3
Desenvolvedor Full Stack,Curriculum.com.br,"4,1","Rio de Janeiro, RJ",PostedAnunciada há 10 dia,"Requisitos desejáveis BigData, Azure Máquina Virtual, Azure DataBricks, Azure Data Factory, Azure Functions, PySpark.",br.indeed.com/rc/clk?jk=8ed6ca9424d99d25&fccid=22d7ce555383096d&vjs=3
Analista de Sistemas Pleno,CONQUEST ONE,"3,8","Home office in Rio de Janeiro, RJ",PostedAnunciada há mais de 30 dias,"Descrição A Conquest One é uma empresa especializada em staffing de Tecnologia da Informação, que trabalha há 25 anos oferecendo soluções inovadoras e…",br.indeed.com/rc/clk?jk=1c17e5c03bcd930a&fccid=feb8ee460433af19&vjs=3
